common_name,site,link
Iceland,googleMaps,https://goo.gl/maps/WxFWSQuc3oamNxoE6
Iceland,openStreetMaps,https://www.openstreetmap.org/relation/299133
Northern Mariana Islands,googleMaps,https://goo.gl/maps/cpZ67knoRAcfu1417
Northern Mariana Islands,openStreetMaps,https://www.openstreetmap.org/relation/306004
Austria,googleMaps,https://goo.gl/maps/pCWpWQhznHyRzQcu9
Austria,openStreetMaps,https://www.openstreetmap.org/relation/16239
Morocco,googleMaps,https://goo.gl/maps/6oMv3dyBZg3iaXQ5A
Morocco,openStreetMaps,https://www.openstreetmap.org/relation/3630439
South Georgia,googleMaps,https://goo.gl/maps/mJzdaBwKBbm2B81q9
South Georgia,openStreetMaps,https://www.openstreetmap.org/relation/1983629
Iraq,googleMaps,https://goo.gl/maps/iL8Bmy1sUCW9fUk18
Iraq,openStreetMaps,https://www.openstreetmap.org/relation/304934
Liechtenstein,googleMaps,https://goo.gl/maps/KNuHeiJzAPodwM7y6
Liechtenstein,openStreetMaps,https://www.openstreetmap.org/relation/1155955
Dominican Republic,googleMaps,https://goo.gl/maps/soxooTHxEeiAbn3UA
Dominican Republic,openStreetMaps,https://www.openstreetmap.org/relation/307828
Ecuador,googleMaps,https://goo.gl/maps/TbX8hUW4gcbRPZiK7
Ecuador,openStreetMaps,https://www.openstreetmap.org/relation/108089
Sierra Leone,googleMaps,https://goo.gl/maps/jhacar85oq9QaeKB7
Sierra Leone,openStreetMaps,https://www.openstreetmap.org/relation/192777
Belize,googleMaps,https://goo.gl/maps/jdCccpdLodm1uTmo9
Belize,openStreetMaps,https://www.openstreetmap.org/relation/287827
Bhutan,googleMaps,https://goo.gl/maps/VEfXXBftTFLUpNgp8
Bhutan,openStreetMaps,https://www.openstreetmap.org/relation/184629
Iran,googleMaps,https://goo.gl/maps/dMgEGuacBPGYQnjY7
Iran,openStreetMaps,https://www.openstreetmap.org/relation/304938
Bolivia,googleMaps,https://goo.gl/maps/9DfnyfbxNM2g5U9b9
Bolivia,openStreetMaps,https://www.openstreetmap.org/relation/252645
Turkey,googleMaps,https://goo.gl/maps/dXFFraiUDfcB6Quk6
Turkey,openStreetMaps,https://www.openstreetmap.org/relation/174737
Faroe Islands,googleMaps,https://goo.gl/maps/6sTru4SmHdEVcNkM6
Faroe Islands,openStreetMaps,https://www.openstreetmap.org/relation/52939
Saint Barthélemy,googleMaps,https://goo.gl/maps/Mc7GqH466S7AAk297
Saint Barthélemy,openStreetMaps,https://www.openstreetmap.org/relation/7552779
Greece,googleMaps,https://goo.gl/maps/LHGcAvuRyD2iKECC6
Greece,openStreetMaps,https://www.openstreetmap.org/relation/192307
India,googleMaps,https://goo.gl/maps/WSk3fLwG4vtPQetp7
India,openStreetMaps,https://www.openstreetmap.org/relation/304716
Nicaragua,googleMaps,https://goo.gl/maps/P77LaEVkKJKXneRC6
Nicaragua,openStreetMaps,https://www.openstreetmap.org/relation/287666
Central African Republic,googleMaps,https://goo.gl/maps/51V8dsi2rGYC9n3c9
Central African Republic,openStreetMaps,https://www.openstreetmap.org/relation/192790
